name,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,X,Y
Netherland Monument,1092,Y,Manhattan,Battery Park,M005,1,1,Northeast entrance near intersection of State Street and Battery Place,Y,"December 6, 1926",1926,Sculpted flagstaff pedestal,"Total H: 12'; Top W: 2'6"" D: 2'6""; Bottom W: 7' D: 7'",CPF Endowment,"Bencha granite, bronze",,,H.A. Van den Eyden,,People of the Netherlands,,,,,Y,,,,Colonial,980204.185245052,195909.0914993137
Norwegian Veterans Monument,1123,Y,Manhattan,Battery Park,M005,1,1,Northwest of Castle Clinton,Y,"October 21, 1982",ca. 1982,"Small boulder with incised anchor motif, atop large inscribed boulder, inscribed marker","Total H: 6' W: 12'; Marker front H: 4"" Rear H: 1'2"" W: 1'8"" D: 1'4""",CPF Endowment,Norwegian coastal boulders; marker--pink granite,,A. Ottavino Corp.,,,Norwegian war veterans,Y,"$6,400 contributed by Norwegian war veterans to maintenance endowment with City Parks Foundation",,,Y,,,,"World War II, War Memorial",979444.7182600498,195681.15954047441
Dante Alighieri,363,Y,Manhattan,Dante Park,M020,7,6,Broadway & 63rd Street,Y,1921,ca 1921,Standing figure (over life-size) on pedestal,"H: 25'7"" W: 16'4"" D: 16'4""",CPF/SF; CMCP,Figure and leaves--bronze; Pedestal--North Jay granite,,Denigris Brothers (pedestal),Ettore Ximenes,Warren and Wetmore,Gift of Citizens of Italian Descent,,,,,Y,,09/14/2021,,"Sculpture, Writer",989080.5674266368,220451.23598447442
Coast Guard Memorial,277,Y,Manhattan,Battery Park,M005,1,1,Not presently accessible; under construction.,Y,"May 30, 1955",1947,"Group of three figures (heroic scale), integral plinth, on pedestal","Group H: 8'10""; Pedestal H: 5'8"" W: 5'3"" D: 3'4""",CMCP,"Bronze, Deer Isle granite","Capital Products Inc., Long Island City",,Norman M. Thomas,,United States Coast Guard,,,,,Y,,10/04/2021,,"Sculpture, Soldier, War Memorial, World War II",980384.2235988826,194763.9733827263
Washington Kill Von Kull Plaque,1678,Y,Staten Island,Faber Park,R008,1,49,FABER PARK POOL ENTRANCE; Richmond Terrace between Faber and Sharpe Avenues,Y,"November 5, 1932",,Tablet on boulder,"H: 14"" W: 20""",NYCDPR Capital,"Bronze, natural boulder",,,,,"staten island chptr, d.a.r.",,Masterworks Plaques,,,Y,,,,US President,946639.8153660595,172668.6458543092
"Bill ""Bojangles"" Robinson Mural",1354,Y,Manhattan,"Bill ""Bojangles"" Robinson Playground",M138,10,9,"West 150th Street, west side of 7 Avenue",Y,"February 27, 1992","November 1, 1991","Mural, period street lamp, plaque","H: 15' W: 17 '; Plaque H: 1'4"" W: 1'8""",Capital Project,"Mural--aluminum panels (¼"" thick, coated with Duranar Fluoropolymer); plaque--bronze",,,,Brandon Adams (Landscape architect),Office of the Mayor,,,,,Y,,,,Composer/Musician,1001607.0023474693,239956.78752447665
Prospect Park War Memorial,1229,Y,Brooklyn,Prospect Park,B073,0,39,South of Flower Garden,Y,"June 26, 1921",1921,"Group of two figures on pedestal before a high, arced wall; two benches; altar; six large plaques; one small plaque; paving",Wall H: 18' W: 35',Prospect Park Alliance,Group and plaques--bronze; Pedestal and wall--Milford pink granite,,,Augustus Lukeman,Arthur D. Pickering,William H. Todd,,,,,Y,,,,"World War I, War Memorial",993921.6325476319,178691.7994903922
General Jose de San Martin,1395,Y,Manhattan,Central Park,M010,7,6,Central Park South and Avenue of the Americas,Y,"May 25, 1951",circa 1950,"Equestrian figure (over life-size)on integral plinth, on pedestal with escutcheon","Figure H: 14'; Pedestal H: 20'4"" W: 6'1"" D: 12'6""",CPC,Figure and escutcheon--bronze; pedestal--granite,"Humberto Radaelli, Buenos Aires",,Louis-Joseph Daumas,"Clarke, Rapuano and Holleran","City of Buenos Aires, Argentina",,,,,Y,,,,"Animal: equestrian, Civic Leader, Politcal Figure",990720.9457075596,218365.8402208984
George Washington,1676,Y,Manhattan,Union Square Park,M089,5,2,South end,Y,"July 4, 1856",1856,"Equestrian figure on intergral plinth, pedestal on plinth","Overall H: 26'4""; Statue H: 13'6""; Pedestal H: 12'2"" W: 7'9"" L: 15'; Pedestal plinth H: 10"" W: 9'9"" L: 17'",T&A,"Bronze, Barre granite","Ames Foundry, Chicopee, Mass.",,Henry Kirke Brown; J.Q.A. Ward. assistant,Richard Upjohn,Merchants of New York,,,,,Y,,,31331.92,"Revolutionary War, War Memorial, Sculpture, US President, Animal: equestrian",986826.5870264769,207191.65226747096
Eagles and Prey,427,Y,Manhattan,Central Park,M010,7,6,,Y,1863,1850,"Group of two birds attacking a goat, on a pedestal","Total dimensions H: 12'6"" W: 6' D: 6'",CPC,"Bronze, Quincy light granite",,,Christophe Fratin,,Gordon Webster Burnham,,,,,Y,,,,Animal: other,991858.1665302217,220696.88641181588
